,original_name,channel_n,row,col,tile_computation,z_depth_string,well,channel,z_depth,isl_name
0,r01c02f02p13-ch2sk2fk1fl1.tiff,ch2,01,02,02,13,A02,BRIGHTFIELD,12,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-12,channel-BRIGHTFIELD,is_mask-false.tiff"
1,r01c02f02p03-ch3sk2fk1fl1.tiff,ch3,01,02,02,03,A02,CELLEVENT,2,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-2,channel-CELLEVENT,is_mask-false.tiff"
2,r01c02f02p16-ch2sk2fk1fl1.tiff,ch2,01,02,02,16,A02,BRIGHTFIELD,15,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-15,channel-BRIGHTFIELD,is_mask-false.tiff"
3,r01c02f02p06-ch3sk2fk1fl1.tiff,ch3,01,02,02,06,A02,CELLEVENT,5,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-5,channel-CELLEVENT,is_mask-false.tiff"
5,r01c02f02p12-ch2sk2fk1fl1.tiff,ch2,01,02,02,12,A02,BRIGHTFIELD,11,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-11,channel-BRIGHTFIELD,is_mask-false.tiff"
6,r01c02f02p02-ch3sk2fk1fl1.tiff,ch3,01,02,02,02,A02,CELLEVENT,1,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-1,channel-CELLEVENT,is_mask-false.tiff"
7,r01c02f02p07-ch3sk2fk1fl1.tiff,ch3,01,02,02,07,A02,CELLEVENT,6,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-6,channel-CELLEVENT,is_mask-false.tiff"
8,r01c02f02p11-ch2sk2fk1fl1.tiff,ch2,01,02,02,11,A02,BRIGHTFIELD,10,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-10,channel-BRIGHTFIELD,is_mask-false.tiff"
9,r01c02f02p01-ch3sk2fk1fl1.tiff,ch3,01,02,02,01,A02,CELLEVENT,0,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-0,channel-CELLEVENT,is_mask-false.tiff"
10,r01c02f02p08-ch2sk2fk1fl1.tiff,ch2,01,02,02,08,A02,BRIGHTFIELD,7,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-7,channel-BRIGHTFIELD,is_mask-false.tiff"
11,r01c02f02p14-ch2sk2fk1fl1.tiff,ch2,01,02,02,14,A02,BRIGHTFIELD,13,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-13,channel-BRIGHTFIELD,is_mask-false.tiff"
12,r01c02f02p04-ch3sk2fk1fl1.tiff,ch3,01,02,02,04,A02,CELLEVENT,3,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-3,channel-CELLEVENT,is_mask-false.tiff"
13,r01c02f02p10-ch2sk2fk1fl1.tiff,ch2,01,02,02,10,A02,BRIGHTFIELD,9,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-9,channel-BRIGHTFIELD,is_mask-false.tiff"
14,r01c02f02p09-ch2sk2fk1fl1.tiff,ch2,01,02,02,09,A02,BRIGHTFIELD,8,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-8,channel-BRIGHTFIELD,is_mask-false.tiff"
15,r01c02f02p15-ch2sk2fk1fl1.tiff,ch2,01,02,02,15,A02,BRIGHTFIELD,14,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-14,channel-BRIGHTFIELD,is_mask-false.tiff"
16,r01c02f02p11-ch1sk2fk1fl1.tiff,ch1,01,02,02,11,A02,DPC,10,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-10,channel-DPC,is_mask-false.tiff"
17,r01c02f02p05-ch3sk2fk1fl1.tiff,ch3,01,02,02,05,A02,CELLEVENT,4,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-4,channel-CELLEVENT,is_mask-false.tiff"
18,r01c02f02p10-ch3sk2fk1fl1.tiff,ch3,01,02,02,10,A02,CELLEVENT,9,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-9,channel-CELLEVENT,is_mask-false.tiff"
19,r01c02f02p05-ch2sk2fk1fl1.tiff,ch2,01,02,02,05,A02,BRIGHTFIELD,4,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-4,channel-BRIGHTFIELD,is_mask-false.tiff"
20,r01c02f02p15-ch3sk2fk1fl1.tiff,ch3,01,02,02,15,A02,CELLEVENT,14,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-14,channel-CELLEVENT,is_mask-false.tiff"
21,r01c02f02p09-ch3sk2fk1fl1.tiff,ch3,01,02,02,09,A02,CELLEVENT,8,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-8,channel-CELLEVENT,is_mask-false.tiff"
22,r01c02f02p01-ch2sk2fk1fl1.tiff,ch2,01,02,02,01,A02,BRIGHTFIELD,0,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-0,channel-BRIGHTFIELD,is_mask-false.tiff"
23,r01c02f02p11-ch3sk2fk1fl1.tiff,ch3,01,02,02,11,A02,CELLEVENT,10,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-10,channel-CELLEVENT,is_mask-false.tiff"
24,r01c02f02p04-ch2sk2fk1fl1.tiff,ch2,01,02,02,04,A02,BRIGHTFIELD,3,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-3,channel-BRIGHTFIELD,is_mask-false.tiff"
25,r01c02f02p14-ch3sk2fk1fl1.tiff,ch3,01,02,02,14,A02,CELLEVENT,13,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-13,channel-CELLEVENT,is_mask-false.tiff"
26,r01c02f02p08-ch3sk2fk1fl1.tiff,ch3,01,02,02,08,A02,CELLEVENT,7,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-7,channel-CELLEVENT,is_mask-false.tiff"
27,r01c02f02p02-ch2sk2fk1fl1.tiff,ch2,01,02,02,02,A02,BRIGHTFIELD,1,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-1,channel-BRIGHTFIELD,is_mask-false.tiff"
28,r01c02f02p12-ch3sk2fk1fl1.tiff,ch3,01,02,02,12,A02,CELLEVENT,11,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-11,channel-CELLEVENT,is_mask-false.tiff"
29,r01c02f02p07-ch2sk2fk1fl1.tiff,ch2,01,02,02,07,A02,BRIGHTFIELD,6,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-6,channel-BRIGHTFIELD,is_mask-false.tiff"
30,r01c02f02p03-ch2sk2fk1fl1.tiff,ch2,01,02,02,03,A02,BRIGHTFIELD,2,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-2,channel-BRIGHTFIELD,is_mask-false.tiff"
31,r01c02f02p13-ch3sk2fk1fl1.tiff,ch3,01,02,02,13,A02,CELLEVENT,12,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-12,channel-CELLEVENT,is_mask-false.tiff"
32,r01c02f02p06-ch2sk2fk1fl1.tiff,ch2,01,02,02,06,A02,BRIGHTFIELD,5,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-5,channel-BRIGHTFIELD,is_mask-false.tiff"
33,r01c02f02p16-ch3sk2fk1fl1.tiff,ch3,01,02,02,16,A02,CELLEVENT,15,"lab-CCLF,condition-unknown,acquisition_date,year-2018,month-00,day-99,minute-0,well-A02,tile_computation-02,z_depth-15,channel-CELLEVENT,is_mask-false.tiff"
